geoid20,aland20,awater20,lat20,lon20,name,land_acre
4.01311E+13,24822,0,33.4477759,-112.0423001,Central City,6.13364031
4.01312E+13,19074,0,33.4179702,-112.0283836,Central City,4.71328077
4.0131E+13,81102,0,33.5889968,-111.9627346,Paradise Valley,20.04070971
4.01311E+13,132629,0,33.4578483,-111.9906275,Camelback East,32.77328905
4.01311E+13,40753,0,33.4754199,-112.0063775,Camelback East,10.07027007
4.01311E+13,17882,0,33.4882174,-112.0967489,Encanto,4.41873161
4.01361E+13,19673,0,33.6745912,-112.1281827,Deer Valley,4.861296665
4.0131E+13,22792,0,33.6119227,-111.9844141,Paradise Valley,5.63201716
4.01361E+13,157206,0,33.7195445,-112.1789555,Deer Valley,38.84638863
4.01311E+13,41911,0,33.4896966,-112.008012,Camelback East,10.35641766
4.01312E+13,960991,0,33.3462316,-112.0404829,Ahwatukee Foothills,237.4656811
4.01311E+13,15308,0,33.4965968,-111.99878,Camelback East,3.78268334
4.0131E+13,29325,0,33.601813,-112.014072,Paradise Valley,7.246354125
